enterprise-id,site-id,imsi,sim-id,key,opc,iccid,device-id,imei,device-group-id
kajeet-enterprise,kajeet-site,123456789012345 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F5,D5FE0D8340D24A26B78B7A3A22BF2A0D,11014402108000000000 ,baicell-test-device-1,530778657966335 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012346 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F6,D5FE0D8340D24A26B78B7A3A22BF2A1D,11014402108000000000 ,baicell-test-device-2,530778657966336 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012347 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F7,D5FE0D8340D24A26B78B7A3A22BF2A2D,11014402108000000000 ,baicell-test-device-3,530778657966337 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012348 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F8,D5FE0D8340D24A26B78B7A3A22BF2A3D,11014402108000000000 ,baicell-test-device-4,530778657966338 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012349 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-5,530778657966339 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012350 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-6,530778657966340 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012351 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-7,530778657966341 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012352 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-8,530778657966342 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012353 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-9,530778657966343 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012354 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-10,530778657966344 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012355 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-11,530778657966345 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012356 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-12,530778657966346 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012357 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-13,530778657966347 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012358 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-14,530778657966348 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012359 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-15,530778657966349 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012360 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-16,530778657966350 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012361 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-17,530778657966351 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012362 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-18,530778657966352 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012363 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-19,530778657966353 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012364 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-20,530778657966354 ,kajeet-mobile-group
kajeet-enterprise,kajeet-site,123456789012365 ,sim-123456789012345,30BDF9DA4E2C460786597414A43988F9,D5FE0D8340D24A26B78B7A3A22BF2A4D,11014402108000000000 ,baicell-test-device-21,530778657966355 ,kajeet-mobile-group
